Set temp 30 degree;
Measured 24.5 degree;
Waited for long time while capturing the previous logs. No stimulus applied at that time;
Started getting logs and then applied stimulus just after that;
Temprature went as high as upto 50 and machine gave error message as The heater is too hot.


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:40:37.836 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:37.836 V: [rs485]: Set SPA id 0x0A
00:40:37.838 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:40:37.838 V: [rs485]: Sent Existing Client Response
00:40:37.860 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.881 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.885 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.901 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.921 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.925 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.940 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.961 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.965 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.980 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.001 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.005 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.020 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.041 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.045 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.060 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.080 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.084 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.101 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.138 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:38.142 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.145 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
